TEAM_ABBREVIATION,POSITION,SEASON,AVG_PTS_ALLOWED,AVG_REB_ALLOWED,AVG_AST_ALLOWED,AVG_3PM_ALLOWED,PTS_RANK,REB_RANK,AST_RANK,3PM_RANK
OKC,C,2025-26,13.106598984771574,8.467005076142131,3.16751269035533,0.7208121827411168,30,11,22,27
OKC,F,2023-24,7.825418994413408,3.0279329608938546,1.6838919925512104,1.0200186219739293,13,7,12,7
OKC,F,2024-25,7.070146818923328,2.943311582381729,1.4433115823817293,0.9779771615008157,27,6,24,14
OKC,F,2025-26,7.459866220735786,3.052396878483835,1.5117056856187292,1.0953177257525084,24,9,26,4
OKC,G,2023-24,15.977695167286246,3.475836431226766,5.174721189591078,2.241635687732342,24,22,20,7
OKC,G,2024-25,13.74294670846395,3.3636363636363638,4.601880877742946,1.780564263322884,30,18,26,29
OKC,G,2025-26,12.162995594713657,3.0748898678414096,4.140969162995595,1.4933920704845816,30,18,29,30
ORL,C,2023-24,15.73828125,7.99609375,3.16015625,0.77734375,25,30,27,25
ORL,C,2024-25,14.695652173913043,8.365942028985508,2.778985507246377,0.7536231884057971,23,24,29,25
ORL,C,2025-26,14.357142857142858,8.214285714285714,2.943877551020408,0.7040816326530612,24,17,24,28
ORL,F,2023-24,7.267241379310345,2.7471264367816093,1.4818007662835249,0.8644636015325671,29,30,30,27
ORL,F,2024-25,6.586637931034483,2.725431034482759,1.3146551724137931,0.8008620689655173,30,27,30,30
ORL,F,2025-26,7.621411483253588,2.974282296650718,1.4892344497607655,0.861244019138756,20,15,28,29
ORL,G,2023-24,17.03900709219858,3.5,4.911347517730497,1.8156028368794326,14,20,26,27
ORL,G,2024-25,15.273006134969325,3.1012269938650308,4.2392638036809815,1.687116564417178,24,30,30,30
ORL,G,2025-26,17.057971014492754,3.0,5.06280193236715,1.748792270531401,1,21,8,20
PHI,C,2023-24,16.602941176470587,9.411764705882353,3.4411764705882355,0.8970588235294118,16,7,20,14
PHI,C,2024-25,13.718978102189782,8.346715328467154,3.54014598540146,0.7408759124087592,29,25,12,26
PHI,C,2025-26,15.297169811320755,8.518867924528301,3.2264150943396226,0.8301886792452831,16,8,19,23
PHI,F,2023-24,7.52738432483475,2.989140698772427,1.5755429650613786,0.896600566572238,22,11,23,24
PHI,F,2024-25,7.785684210526316,2.969684210526316,1.6197894736842104,1.0378947368421052,2,5,5,4
PHI,F,2025-26,7.793313069908814,3.021276595744681,1.7933130699088147,0.9592705167173252,15,13,5,21
PHI,G,2023-24,15.817490494296578,3.5399239543726235,5.452471482889734,1.7490494296577948,26,17,12,30
PHI,G,2024-25,15.316129032258065,3.706451612903226,5.451612903225806,2.067741935483871,23,3,6,9
PHI,G,2025-26,16.31336405529954,3.6175115207373274,4.732718894009216,2.0230414746543777,8,3,18,4
PHX,C,2023-24,17.19455252918288,8.070038910505836,3.727626459143969,1.0194552529182879,9,29,7,4
PHX,C,2024-25,17.262172284644194,8.719101123595506,3.8726591760299627,1.0074906367041199,1,17,2,4
PHX,C,2025-26,16.251231527093594,8.270935960591133,3.3004926108374386,1.0246305418719213,10,15,16,8
PHX,F,2023-24,7.514166279609847,2.8012076172782163,1.5239201114723642,0.9577333952624245,23,28,28,15
PHX,F,2024-25,7.368855844692276,2.8046261875258156,1.5559686080132176,0.9950433705080545,15,20,11,10
