SEASON,GP,W,OPP_FGM,OPP_FGA,OPP_FG3M,OPP_FG3A,OPP_FTM,OPP_FTA,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,OPP_PTS,PLUS_MINUS,MIN,L,W_PCT,OPP_FG_PCT,OPP_FG3_PCT,OPP_FT_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OPP_FGM_RANK,OPP_FGA_RANK,OPP_FG_PCT_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FG3_PCT_RANK,OPP_FTM_RANK,OPP_FTA_RANK,OPP_FT_PCT_RANK,OPP_OREB_RANK,OPP_DREB_RANK,OPP_REB_RANK,OPP_AST_RANK,OPP_TOV_RANK,OPP_STL_RANK,OPP_BLK_RANK,OPP_PF_RANK,OPP_PTS_RANK,PLUS_MINUS_RANK,OPP_BLKA,OPP_PFD,OPP_BLKA_RANK,OPP_PFD_RANK,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION
2025-26,58,15,43.4,89.5,11.4,33.2,20.7,27.1,11.1,35.9,47.0,25.9,13.2,7.9,4.7,20.4,119.0,-7.5,241.3,43,0.259,0.485,0.343,0.764,2,28,2,29,11,24,17,26,1,2,2,28,28,3,9,30,27,9,12,8,13,19,25,26,0.0,0.0,1,1,1610612754,Indiana Pacers,IND
2023-24,78,45,40.4,86.4,12.0,33.9,18.4,23.3,10.9,33.4,44.4,26.0,14.7,6.1,6.2,18.3,111.2,2.8,241.0,33,0.577,0.467,0.355,0.792,1,9,19,11,19,5,4,11,6,9,8,25,25,24,20,17,22,10,27,1,27,12,9,8,0.0,0.0,1,1,1610612755,Philadelphia 76ers,PHI
2024-25,82,24,42.4,86.8,14.2,37.6,16.9,21.2,11.5,34.0,45.5,28.3,15.2,7.4,5.1,18.7,115.8,-6.2,241.5,58,0.293,0.488,0.378,0.794,2,26,5,26,9,20,4,30,21,14,28,14,11,27,18,26,26,24,27,5,18,14,22,25,0.0,0.0,1,1,1610612755,Philadelphia 76ers,PHI
2025-26,57,31,41.9,89.0,13.0,36.5,19.2,24.7,11.9,33.0,44.9,27.5,15.1,7.4,5.2,20.4,116.0,0.3,243.5,26,0.544,0.471,0.356,0.779,15,13,17,13,1,15,15,17,11,14,11,20,22,10,23,15,18,23,25,3,21,19,17,16,0.0,0.0,1,1,1610612755,Philadelphia 76ers,PHI
2023-24,77,46,42.2,90.8,13.2,36.3,15.9,20.6,10.9,30.6,41.5,26.4,12.8,8.4,4.5,19.6,113.4,2.6,241.3,31,0.597,0.464,0.363,0.772,23,8,22,8,16,18,23,5,19,20,16,6,8,6,20,2,4,11,7,26,5,25,13,9,0.0,0.0,1,1,1610612756,Phoenix Suns,PHX
2024-25,82,36,42.6,90.1,14.2,38.4,17.2,21.8,11.5,32.7,44.2,27.3,11.5,8.5,4.0,18.4,116.6,-3.0,241.8,46,0.439,0.473,0.37,0.79,2,21,9,21,6,21,19,21,21,20,27,18,17,25,18,12,16,21,2,19,3,11,23,22,0.0,0.0,1,1,1610612756,Phoenix Suns,PHX
2025-26,58,33,40.3,85.7,12.2,35.4,18.8,24.1,12.0,32.1,44.1,24.8,16.1,8.1,4.6,18.7,111.6,1.0,241.3,25,0.569,0.47,0.344,0.782,2,12,19,12,11,6,3,15,3,6,3,17,19,12,25,11,16,5,28,11,8,7,5,14,0.0,0.0,1,1,1610612756,Phoenix Suns,PHX
2023-24,78,20,42.4,86.6,11.7,33.4,18.8,23.8,10.6,33.2,43.7,27.1,14.2,8.9,6.4,17.8,115.5,-9.0,242.2,58,0.256,0.49,0.351,0.79,1,27,3,27,4,19,6,24,5,6,4,27,26,20,12,14,17,20,24,29,28,3,20,27,0.0,0.0,1,1,1610612757,Portland Trail Blazers,POR
2024-25,82,36,41.6,88.3,12.7,35.2,18.0,22.5,11.9,32.3,44.2,26.2,14.5,9.5,5.5,19.3,113.9,-3.0,241.2,46,0.439,0.471,0.361,0.799,2,21,9,21,14,15,11,20,3,3,16,22,21,29,26,10,16,13,24,29,25,26,15,22,0.0,0.0,1,1,1610612757,Portland Trail Blazers,POR
2025-26,58,28,42.8,90.1,13.1,36.2,19.6,24.6,12.1,31.3,43.4,26.9,14.7,11.1,6.0,21.8,118.2,-2.6,240.9,30,0.483,0.475,0.361,0.797,2,17,13,17,19,20,20,20,13,11,17,25,21,24,26,8,12,14,21,30,30,29,23,21,0.0,0.0,1,1,1610612757,Portland Trail Blazers,POR
2023-24,77,42,41.7,86.8,13.1,33.8,18.3,23.0,9.1,33.3,42.5,26.9,13.7,7.4,4.4,18.1,114.8,1.6,242.3,35,0.545,0.48,0.387,0.796,23,16,13,16,2,15,7,21,18,8,29,24,24,26,2,15,9,18,15,16,4,9,17,15,0.0,0.0,1,1,1610612758,Sacramento Kings,SAC
2024-25,82,40,41.6,87.8,14.5,38.2,17.6,22.4,10.0,32.4,42.3,27.0,13.1,7.9,4.3,18.5,115.3,0.5,242.4,42,0.488,0.474,0.381,0.783,2,16,14,17,2,15,8,22,28,19,30,21,20,19,3,11,4,17,13,11,5,12,20,16,0.0,0.0,1,1,1610612758,Sacramento Kings,SAC
