TEAM_ID,TEAM_NAME,SEASON,GP,W,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,L,W_PCT,FG_PCT,FG3_PCT,FT_PCT,PACE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,PF_RANK,PTS_RANK,PLUS_MINUS_RANK,BLKA,PFD,BLKA_RANK,PFD_RANK,TEAM_ABBREVIATION
1610612752,New York Knicks,2023-24,77,47.0,240.6,41.3,88.7,13.3,36.0,16.9,21.7,12.7,32.3,45.0,24.5,13.1,7.5,4.1,17.7,112.8,5.0,30.0,0.61,0.466,0.37,0.779,98.4,23,7,6,7,23,23,18,20,9,13,11,15,14,16,1,22,5,29,12,15,28,6,19,5,0.0,0.0,1,1,NYK
1610612752,New York Knicks,2024-25,82,51.0,242.4,43.3,89.2,12.6,34.1,16.5,20.7,10.9,31.8,42.6,27.5,12.2,8.2,4.0,17.2,115.8,4.1,31.0,0.622,0.486,0.369,0.8,98.6,2,4,5,5,2,7,18,4,23,27,8,22,23,5,18,25,24,11,3,13,29,4,9,8,0.0,0.0,1,1,NYK
1610612752,New York Knicks,2025-26,64,41.0,241.2,42.8,90.3,14.8,39.3,17.0,21.7,12.8,33.2,46.1,27.4,12.9,8.1,4.1,20.4,117.2,6.6,23.0,0.641,0.473,0.375,0.783,99.4,2,5,5,5,10,7,9,11,4,9,4,23,23,15,6,10,7,10,4,20,25,21,9,5,0.0,0.0,1,1,NYK
1610612753,Orlando Magic,2023-24,78,44.0,241.3,40.4,84.8,10.9,31.1,18.7,24.6,10.4,31.8,42.3,24.6,14.6,8.2,5.1,19.7,110.4,1.8,34.0,0.564,0.476,0.351,0.76,99.3,1,12,13,13,16,26,30,14,30,30,24,3,1,26,15,26,26,28,24,5,13,23,24,15,0.0,0.0,1,1,ORL
1610612753,Orlando Magic,2024-25,82,41.0,240.6,38.1,85.7,11.1,35.1,17.9,23.2,11.2,30.7,42.0,23.0,13.1,8.9,5.9,20.2,104.0,-0.2,41.0,0.5,0.445,0.317,0.773,97.6,2,15,15,15,23,29,29,27,30,24,30,4,5,22,12,28,27,30,11,6,1,26,30,17,0.0,0.0,1,1,ORL
1610612753,Orlando Magic,2025-26,61,33.0,242.0,40.9,88.5,11.7,33.9,21.3,26.7,11.0,32.3,43.3,26.4,13.2,8.6,5.2,20.8,114.8,0.4,28.0,0.541,0.462,0.345,0.798,101.6,27,15,13,15,6,24,25,21,24,22,24,1,1,7,20,15,18,15,8,14,10,23,19,16,0.0,0.0,1,1,ORL
1610612754,Indiana Pacers,2023-24,76,41.0,240.3,46.9,92.5,13.0,35.1,15.8,20.1,10.1,31.5,41.6,30.9,13.0,7.7,5.8,21.4,122.6,2.9,35.0,0.539,0.507,0.371,0.783,104.1,27,17,16,17,26,1,1,1,11,15,9,23,27,13,20,28,28,1,10,11,8,30,1,9,0.0,0.0,1,1,IND
1610612754,Indiana Pacers,2024-25,82,50.0,242.1,43.6,89.3,13.2,35.8,17.0,21.6,9.2,32.7,41.8,29.2,12.2,8.5,5.5,18.7,117.4,2.2,32.0,0.61,0.488,0.368,0.789,101.0,2,6,7,7,4,5,17,3,15,21,9,14,17,9,29,21,28,3,3,9,5,15,7,12,0.0,0.0,1,1,IND
1610612754,Indiana Pacers,2025-26,63,15.0,241.2,40.3,89.3,12.9,37.2,18.0,23.5,10.2,32.0,42.3,26.5,13.8,7.4,4.7,21.4,111.4,-8.4,48.0,0.238,0.451,0.346,0.768,102.7,9,28,29,29,10,28,16,28,18,16,23,18,16,23,23,18,25,14,13,25,17,28,27,27,0.0,0.0,1,1,IND
1610612755,Philadelphia 76ers,2023-24,78,45.0,241.0,41.6,89.5,12.2,33.6,18.9,23.0,11.1,31.9,43.0,24.9,11.9,8.4,6.1,20.2,114.3,3.1,33.0,0.577,0.465,0.364,0.82,100.0,1,9,11,11,19,20,14,21,22,19,17,1,7,4,9,24,19,24,2,1,4,26,16,8,0.0,0.0,1,1,PHI
1610612755,Philadelphia 76ers,2024-25,82,24.0,241.5,39.7,87.4,12.7,37.2,17.5,22.5,10.4,29.4,39.8,23.2,12.8,9.2,4.5,19.0,109.6,-6.2,58.0,0.293,0.454,0.341,0.78,99.1,2,26,26,26,9,26,23,22,21,17,27,7,9,15,22,30,30,29,8,5,20,19,26,25,0.0,0.0,1,1,PHI
1610612755,Philadelphia 76ers,2025-26,62,34.0,243.2,41.2,90.1,12.7,35.9,20.6,25.4,11.9,31.4,43.3,24.6,13.1,9.2,5.6,20.4,115.8,-0.1,28.0,0.548,0.458,0.353,0.814,101.1,20,14,13,13,1,21,12,26,21,20,19,3,9,4,11,26,18,28,6,6,5,21,13,19,0.0,0.0,1,1,PHI
1610612756,Phoenix Suns,2023-24,77,46.0,241.3,42.5,86.4,12.4,32.8,18.7,23.2,10.2,34.0,44.2,27.1,14.9,7.4,6.1,17.9,116.2,2.9,31.0,0.597,0.492,0.379,0.807,100.8,23,8,8,8,16,12,27,5,20,24,6,3,5,7,19,6,9,12,25,17,4,7,10,9,0.0,0.0,1,1,PHX
1610612756,Phoenix Suns,2024-25,82,36.0,241.8,41.2,86.3,14.3,38.0,16.8,20.8,9.5,32.9,42.5,27.8,13.2,7.2,4.8,17.9,113.6,-3.0,46.0,0.439,0.478,0.378,0.81,98.4,2,21,21,21,6,18,25,11,7,12,3,18,22,2,28,17,25,10,13,28,16,9,17,22,0.0,0.0,1,1,PHX
1610612756,Phoenix Suns,2025-26,63,36.0,241.2,40.8,90.3,14.7,41.0,15.7,20.0,13.2,30.2,43.4,24.7,14.0,10.0,4.0,20.9,112.1,0.9,27.0,0.571,0.452,0.359,0.786,99.4,9,11,11,11,10,26,9,27,5,5,15,28,28,13,4,29,17,25,16,2,27,25,26,14,0.0,0.0,1,1,PHX
1610612757,Portland Trail Blazers,2023-24,78,20.0,242.2,39.4,89.7,11.5,33.2,16.1,20.3,12.5,30.2,42.7,23.3,15.2,7.6,4.3,20.3,106.5,-8.8,58.0,0.256,0.44,0.346,0.793,100.4,1,27,27,27,4,29,11,29,26,20,27,21,22,10,2,30,22,30,27,13,27,27,29,28,0.0,0.0,1,1,POR
1610612757,Portland Trail Blazers,2024-25,82,36.0,241.2,40.5,90.2,12.9,37.7,16.9,22.2,13.4,31.4,44.8,23.8,15.1,8.3,5.3,19.0,110.9,-3.0,46.0,0.439,0.45,0.342,0.762,101.2,2,21,21,21,14,23,9,26,19,14,26,16,12,26,2,26,11,27,29,11,8,19,21,22,0.0,0.0,1,1,POR
1610612757,Portland Trail Blazers,2025-26,64,30.0,240.8,40.7,90.4,14.2,42.3,19.4,25.5,14.2,31.5,45.7,24.7,16.5,8.2,5.1,20.1,115.1,-3.0,34.0,0.469,0.45,0.337,0.761,103.7,2,19,20,20,22,27,8,29,10,4,29,11,8,25,2,22,8,25,30,18,12,17,18,21,0.0,0.0,1,1,POR
1610612758,Sacramento Kings,2023-24,77,42.0,242.3,43.4,90.9,14.3,39.1,15.3,20.5,10.8,33.1,43.9,28.4,13.1,7.6,4.1,19.8,116.4,1.6,35.0,0.545,0.477,0.366,0.745,101.3,23,16,16,16,2,7,6,12,4,3,16,28,21,30,12,15,13,6,12,13,28,24,9,17,0.0,0.0,1,1,SAC
1610612758,Sacramento Kings,2024-25,82,40.0,242.4,43.0,90.1,12.6,35.2,17.1,21.2,11.0,33.2,44.2,26.5,12.6,7.6,4.4,18.9,115.7,0.5,42.0,0.488,0.478,0.357,0.806,100.0,2,16,17,17,2,9,10,11,23,23,19,13,19,4,16,13,16,13,6,23,24,17,10,16,0.0,0.0,1,1,SAC
1610612758,Sacramento Kings,2025-26,64,14.0,241.2,41.3,89.2,10.0,30.1,17.8,22.9,11.3,30.4,41.6,25.3,13.8,8.3,4.5,19.8,110.4,-10.9,50.0,0.219,0.463,0.334,0.776,101.2,2,30,30,30,10,20,18,19,30,30,30,21,20,19,15,28,26,21,13,17,21,13,29,30,0.0,0.0,1,1,SAC
